Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 2410 	| explore_rate: 0.095 	| return: 18.266
episode: 2420 	| explore_rate: 0.093 	| return: 17.216
episode: 2430 	| explore_rate: 0.091 	| return: 18.266
episode: 2440 	| explore_rate: 0.09 	| return: 0.0
episode: 2450 	| explore_rate: 0.088 	| return: 17.671
episode: 2460 	| explore_rate: 0.086 	| return: 18.233
episode: 2470 	| explore_rate: 0.084 	| return: 15.94
episode: 2480 	| explore_rate: 0.082 	| return: 17.443
episode: 2490 	| explore_rate: 0.081 	| return: 18.266
episode: 2500 	| explore_rate: 0.079 	| return: 17.765
episode: 2510 	| explore_rate: 0.077 	| return: 18.066
episode: 2520 	| explore_rate: 0.076 	| return: 18.266
episode: 2530 	| explore_rate: 0.074 	| return: 18.4
episode: 2540 	| explore_rate: 0.072 	| return: 18.266
episode: 2550 	| explore_rate: 0.07 	| return: 17.933
episode: 2560 	| explore_rate: 0.069 	| return: 18.066
episode: 2570 	| explore_rate: 0.067 	| return: 18.266
episode: 2580 	| explore_rate: 0.065 	| return: 18.266
episode: 2590 	| explore_rate: 0.064 	| return: 18.266
episode: 2600 	| explore_rate: 0.062 	| return: 18.016
episode: 2610 	| explore_rate: 0.06 	| return: 18.266
episode: 2620 	| explore_rate: 0.059 	| return: 18.266
episode: 2630 	| explore_rate: 0.057 	| return: 18.1
episode: 2640 	| explore_rate: 0.055 	| return: 18.266
episode: 2650 	| explore_rate: 0.054 	| return: 18.266
episode: 2660 	| explore_rate: 0.052 	| return: 18.266
episode: 2670 	| explore_rate: 0.05 	| return: 17.89
episode: 2680 	| explore_rate: 0.049 	| return: 17.983
episode: 2690 	| explore_rate: 0.047 	| return: 17.733
episode: 2700 	| explore_rate: 0.046 	| return: 18.266
episode: 2710 	| explore_rate: 0.044 	| return: 18.266
episode: 2720 	| explore_rate: 0.042 	| return: 18.266
episode: 2730 	| explore_rate: 0.041 	| return: 17.974
episode: 2740 	| explore_rate: 0.039 	| return: 18.266
episode: 2750 	| explore_rate: 0.038 	| return: 18.266
episode: 2760 	| explore_rate: 0.036 	| return: 18.266
episode: 2770 	| explore_rate: 0.034 	| return: 17.666
episode: 2780 	| explore_rate: 0.033 	| return: 18.266
episode: 2790 	| explore_rate: 0.031 	| return: 18.066
episode: 2800 	| explore_rate: 0.03 	| return: 17.026
episode: 2810 	| explore_rate: 0.028 	| return: 18.266
episode: 2820 	| explore_rate: 0.027 	| return: 18.266
episode: 2830 	| explore_rate: 0.025 	| return: 18.266
episode: 2840 	| explore_rate: 0.024 	| return: 18.266
episode: 2850 	| explore_rate: 0.022 	| return: 18.266
episode: 2860 	| explore_rate: 0.021 	| return: 18.266
episode: 2870 	| explore_rate: 0.019 	| return: 18.266
episode: 2880 	| explore_rate: 0.018 	| return: 18.266
episode: 2890 	| explore_rate: 0.016 	| return: 18.066
episode: 2900 	| explore_rate: 0.015 	| return: 18.266
episode: 2910 	| explore_rate: 0.013 	| return: 18.266
episode: 2920 	| explore_rate: 0.012 	| return: 18.266
episode: 2930 	| explore_rate: 0.01 	| return: 18.266
