Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 1910 	| explore_rate: 0.196 	| return: 18.111
episode: 1920 	| explore_rate: 0.194 	| return: 17.426
episode: 1930 	| explore_rate: 0.191 	| return: 17.927
episode: 1940 	| explore_rate: 0.189 	| return: 0.0
episode: 1950 	| explore_rate: 0.187 	| return: 17.976
episode: 1960 	| explore_rate: 0.185 	| return: 18.177
episode: 1970 	| explore_rate: 0.182 	| return: 18.143
episode: 1980 	| explore_rate: 0.18 	| return: 17.757
episode: 1990 	| explore_rate: 0.178 	| return: 17.258
episode: 2000 	| explore_rate: 0.176 	| return: 16.566
episode: 2010 	| explore_rate: 0.174 	| return: 16.493
episode: 2020 	| explore_rate: 0.172 	| return: 16.898
episode: 2030 	| explore_rate: 0.169 	| return: 18.177
episode: 2040 	| explore_rate: 0.167 	| return: 17.943
episode: 2050 	| explore_rate: 0.165 	| return: 15.253
episode: 2060 	| explore_rate: 0.163 	| return: 16.172
episode: 2070 	| explore_rate: 0.161 	| return: 17.554
episode: 2080 	| explore_rate: 0.159 	| return: 18.26
episode: 2090 	| explore_rate: 0.157 	| return: 17.702
episode: 2100 	| explore_rate: 0.155 	| return: 18.06
episode: 2110 	| explore_rate: 0.153 	| return: 17.827
episode: 2120 	| explore_rate: 0.151 	| return: 15.368
episode: 2130 	| explore_rate: 0.149 	| return: 18.26
episode: 2140 	| explore_rate: 0.147 	| return: 18.06
episode: 2150 	| explore_rate: 0.144 	| return: 17.535
episode: 2160 	| explore_rate: 0.142 	| return: 18.06
episode: 2170 	| explore_rate: 0.14 	| return: 18.06
episode: 2180 	| explore_rate: 0.138 	| return: 17.001
episode: 2190 	| explore_rate: 0.136 	| return: 18.277
episode: 2200 	| explore_rate: 0.135 	| return: 16.818
episode: 2210 	| explore_rate: 0.133 	| return: 17.964
episode: 2220 	| explore_rate: 0.131 	| return: 17.163
episode: 2230 	| explore_rate: 0.129 	| return: 18.26
episode: 2240 	| explore_rate: 0.127 	| return: 18.394
episode: 2250 	| explore_rate: 0.125 	| return: 0.0
